Class_sum,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0,21511,1,G5040,19.5963897,1004,,15,100479,Block 1004,R,S,-155.9561145,150010215111004,001d0000000000004e17,
0.0,0,21003,1,G5040,19.5780199,1004,,15,144789,Block 1004,R,S,-155.0086969,150010210031004,001d0000000000004e77,
0.0,0,21607,1,G5040,19.611259,1004,,15,58915,Block 1004,R,S,-155.9610607,150010216071004,001d0000000000004eb3,
0.0,0,22102,1,G5040,19.8973485,1004,,15,682005,Block 1004,R,S,-155.1761371,150010221021004,001d0000000000005111,
0.0,0,21608,1,G5040,19.6161537,1004,,15,12762,Block 1004,R,S,-155.9838794,150010216081004,001d0000000000005253,
0.0,0,21402,1,G5040,19.5167496,1004,,15,36654,Block 1004,R,S,-155.9255349,150010214021004,001d0000000000005365,
0.0,0,21902,1,G5040,20.0644357,1004,,15,240889,Block 1004,R,S,-155.5291806,150010219021004,001d00000000000053d1,
0.0,0,21101,1,G5040,19.4662961,1004,,15,1418553,Block 1004,R,S,-154.8475783,150010211011004,001d00000000000053d5,
0.0,0,20500,1,G5040,19.7187931,1004,,15,79821,Block 1004,R,S,-155.0650354,150010205001004,001d0000000000005437,
0.0,64549,21513,1,G5040,19.8568309,1005,,15,2104,Block 1005,R,S,-155.9208393,150010215131005,001d0000000000001c39,
0.0,0,21606,1,G5040,19.6377762,1005,,15,12748,Block 1005,R,S,-155.9878965,150010216061005,001d0000000000002265,
