Class_71,Class_82,Class_95,Class_41,Class_31,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,7301,1,G5040,38.839137,1033,,11,11535,Block 1033,R,S,-77.0190642,110010073011033,00b30000000000008968,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10700,1,G5040,38.9023226,1033,,11,1729,Block 1033,R,S,-77.0491292,110010107001033,00b30000000000008ab2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,9601,1,G5040,38.9021447,1034,,11,4536,Block 1034,R,S,-76.9445339,110010096011034,00b30000000000007445,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0,11100,1,G5040,38.9240417,1034,,11,30792,Block 1034,R,S,-76.9650923,110010111001034,00b300000000000084dc,
0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.15,0.0,0.05,0.0,0,980000,1,G5040,38.8970383,1034,,11,144892,Block 1034,R,S,-77.0372535,110019800001034,00b300000000000087d6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586,9601,1,G5040,38.902435,1035,,11,4365,Block 1035,R,S,-76.9448771,110010096011035,00b30000000000007393,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11100,1,G5040,38.9236547,1035,,11,3225,Block 1035,R,S,-76.9633601,110010111001035,00b30000000000007be1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0,980000,1,G5040,38.899475,1035,,11,39168,Block 1035,R,S,-77.0365505,110019800001035,00b30000000000007c04,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7785,9601,1,G5040,38.9073636,1036,,11,0,Block 1036,R,S,-76.953355,110010096011036,00b300000000000073d1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0,11100,1,G5040,38.9228232,1036,,11,18516,Block 1036,R,S,-76.9627404,110010111001036,00b30000000000007a58,
0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0,980000,1,G5040,38.8936052,1036,,11,54118,Block 1036,R,S,-77.0346076,110019800001036,00b30000000000008674,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.01,0.0,0.0,0,9601,1,G5040,38.9112885,1037,,11,45643,Block 1037,R,S,-76.939242,110010096011037,00b30000000000007de0,
0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0,980000,1,G5040,38.8939242,1037,,11,75730,Block 1037,R,S,-77.0365529,110019800001037,00b300000000000086e6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,11100,1,G5040,38.9229022,1037,,11,29237,Block 1037,R,S,-76.9651187,110010111001037,00b30000000000008ae3,
0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0,980000,1,G5040,38.8935761,1038,,11,53438,Block 1038,R,S,-77.0384889,110019800001038,00b300000000000074ff,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0,11100,1,G5040,38.9218485,1038,,11,28396,Block 1038,R,S,-76.9623176,110010111001038,00b30000000000007902,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,9601,1,G5040,38.9067937,1038,,11,12925,Block 1038,R,S,-76.9410758,110010096011038,00b3000000000000842c,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0,11100,1,G5040,38.9208575,1039,,11,19681,Block 1039,R,S,-76.962545,110010111001039,00b300000000000074a9,
0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.13,0.03,0.0,0.0,0,980000,1,G5040,38.8908924,1039,,11,135103,Block 1039,R,S,-77.0365748,110019800001039,00b30000000000007fb8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,9601,1,G5040,38.9059978,1039,,11,11116,Block 1039,R,S,-76.9426405,110010096011039,00b30000000000008396,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0,980000,1,G5040,38.8912275,1040,,11,27481,Block 1040,R,S,-77.0327731,110019800001040,00b30000000000008698,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0,980000,1,G5040,38.8912652,1041,,11,61775,Block 1041,R,S,-77.0300223,110019800001041,00b30000000000008acd,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980000,1,G5040,38.8913589,1042,,11,2754,Block 1042,R,S,-77.0279625,110019800001042,00b30000000000008343,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0,980000,1,G5040,38.8912833,1043,,11,60076,Block 1043,R,S,-77.025931,110019800001043,00b30000000000008488,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0,980000,1,G5040,38.8913033,1044,,11,30734,Block 1044,R,S,-77.0229369,110019800001044,00b3000000000000893e,
0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0,980000,1,G5040,38.8896457,1045,,11,34217,Block 1045,R,S,-77.0228946,110019800001045,00b30000000000008aab,
0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0,980000,1,G5040,38.8896684,1046,,11,75515,Block 1046,R,S,-77.0197316,110019800001046,00b300000000000078a5,
0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0,980000,1,G5040,38.8897165,1047,,11,41097,Block 1047,R,S,-77.0163726,110019800001047,00b300000000000078ef,
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0,980000,1,G5040,38.8898527,1048,,11,27466,Block 1048,R,S,-77.0147298,110019800001048,00b30000000000007cb5,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2175,980000,1,G5040,38.8891188,1049,,11,4131,Block 1049,R,S,-77.014196,110019800001049,00b300000000000073f6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980000,1,G5040,38.8909397,1050,,11,2042,Block 1050,R,S,-77.0132851,110019800001050,00b300000000000086ed,
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,15620,980000,1,G5040,38.8897831,1051,,11,15465,Block 1051,R,S,-77.0130233,110019800001051,00b30000000000007378,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980000,1,G5040,38.89063,1052,,11,1760,Block 1052,R,S,-77.0123224,110019800001052,00b300000000000088f9,
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.05,0.04,0.0,0,980000,1,G5040,38.889895,1053,,11,110051,Block 1053,R,S,-77.0105621,110019800001053,00b300000000000086f8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,980000,1,G5040,38.8917338,1054,,11,8559,Block 1054,R,S,-77.0115917,110019800001054,00b30000000000008406,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0,980000,1,G5040,38.8882384,1055,,11,21867,Block 1055,R,S,-77.0129407,110019800001055,00b300000000000084a7,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,980000,1,G5040,38.8879245,1056,,11,12575,Block 1056,R,S,-77.011279,110019800001056,00b300000000000081b0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980000,1,G5040,38.8877806,1057,,11,3190,Block 1057,R,S,-77.0095005,110019800001057,00b30000000000007bd0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980000,1,G5040,38.8878266,1058,,11,4081,Block 1058,R,S,-77.008569,110019800001058,00b30000000000007e57,
0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0,980000,1,G5040,38.8897417,1059,,11,31258,Block 1059,R,S,-77.0085827,110019800001059,00b300000000000088b1,
