Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02,158189,43400,1,G5040,38.9879194,1036,,10,0,Block 1036,R,S,-75.487494,100010434001036,00b40000000000000dde,
0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0,43100,1,G5040,38.9328664,1036,,10,140208,Block 1036,R,S,-75.6506761,100010431001036,00b400000000000011b5,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0,43000,1,G5040,38.9217945,1036,,10,21550,Block 1036,R,S,-75.5814042,100010430001036,00b400000000000013a6,
0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.05,0.28,0.0,0.0,0.0,0,42207,1,G5040,39.053618,1036,,10,283234,Block 1036,R,S,-75.5116268,100010422071036,00b40000000000001413,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0,42500,1,G5040,38.9258109,1036,,10,21336,Block 1036,R,S,-75.4283423,100010425001036,00b400000000000014e3,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42802,1,G5040,39.0106715,1036,,10,6231,Block 1036,R,S,-75.5685206,100010428021036,00b40000000000001b77,
0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.02,0,42100,1,G5040,39.0387668,1036,,10,609046,Block 1036,R,S,-75.5808648,100010421001036,00b40000000000001ba5,
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0,42801,1,G5040,38.974055,1036,,10,48109,Block 1036,R,S,-75.685505,100010428011036,00b400000000000020e3,
0.09,0.0,0.6,0.0,0.07,0.0,0.0,0.0,0.0,0.08,0.0,0.0,2.02,0.0,0.0,1.18,0,42900,1,G5040,38.8467415,1036,,10,2016024,Block 1036,R,S,-75.5477512,100010429001036,00b4000000000000223d,
0.0,0.0,0.17,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.21,0,43100,1,G5040,38.8949961,1037,,10,455068,Block 1037,R,S,-75.6713506,100010431001037,00b40000000000000fd3,
